1,104.03,169.9
2,114.11,164.51
3,114.2,174.98
4,121.61,180.33
5,130.54,173.19
6,131.13,163.48
7,139.33,170.79
8,136.75,180.29
9,138.23,190.57
10,140.25,198.76
11,138.56,210
12,148.89,205.47
13,130.56,195.06
14,122.54,188.65
15,121.53,199.43
16,121.24,210
17,110.95,204.96
18,113.9,196.65
19,122.46,171.9
20,102.31,160.79
21,112.08,156.75
22,121.7,151.54
23,128.21,143.27
24,138.43,140.35
25,139.34,130.54
26,147.83,135.57
27,157.78,140.55
28,163.78,143.41
29,166.08,136.62
30,173.08,141.49
31,181.87,145
32,172.05,149
33,181.87,155
34,173.54,161.41
35,175.14,169.12
36,181.87,165
37,181.87,135
38,103.32,179.09
39,112.65,183.36
40,119.49,160.52
41,112.72,145.42
42,122.89,141.2
43,120.14,129.3
44,131.74,126.62
45,130.11,135.45
46,122.72,120.75
47,111.03,116.06
48,114.48,126.21
49,102.71,128.33
50,93.762,126.06
51,95.042,136.28
52,102.02,141.31
53,110.79,134.35
54,103.55,118.77
55,105.9,111.34
56,93.602,114.19
57,88.204,121.92
58,129.71,186.62
59,128.34,156.77
60,148.03,165.2
61,146.38,175.24
62,136.65,161.33
63,137.52,151.92
64,102.9,151.47
65,130.68,203.75
66,148.25,193.58
67,145.57,184.21
68,156.82,181.5
69,156.13,171.2
70,157.29,158.4
71,164.44,163.26
72,163.81,175.18
73,102.88,200.84
74,93.618,196.8
75,93.655,203.63
76,103.92,210
77,102.02,188.16
78,95.202,164.34
79,85.345,161.3
80,84.652,170.85
81,95.084,175.37
82,84.673,181.32
83,97.165,183.12
84,87.568,190.11
85,79.142,185.82
86,77.45,174.72
87,70.886,171.95
88,62.421,165.64
89,61.202,174.47
90,62.422,183.72
91,67.465,190.73
92,60.287,196.49
93,53.25,190.59
94,53.571,200.01
95,51.962,210
96,42.797,206.26
97,67.599,178.09
98,78.599,165.21
99,88.067,149.5
100,86.802,141.72
101,76.873,143.31
102,68.984,139.73
103,70.782,150.1
104,76.669,156.96
105,67.973,161.7
106,62.201,154.3
107,96.764,154.44
108,95.943,144.47
109,130.7,114.68
110,119.99,111.7
111,88.045,129.41
112,76.485,135.17
113,79.551,124.59
114,79.635,116.61
115,70.709,110.07
116,70.27,120.19
117,70.556,131.72
